Format,Type,team_name,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage
Offensive,Strength,UWPlatteville,266,Quentin_Shields,10.17241379,20.55172414,1.018,Hand Off,0.018,1.4,0.5
Offensive,Strength,UWPlatteville,266,Quentin_Shields,10.17241379,20.55172414,1.018,Spot Up,0.232,1.288,0.5
Offensive,Strength,UWPlatteville,266,Quentin_Shields,10.17241379,20.55172414,1.018,Transition,0.162,1.152,0.643
Offensive,Strength,UWPlatteville,266,Quentin_Shields,10.17241379,20.55172414,1.018,Cut,0.028,1.375,0.667
Offensive,Strength,UWPlatteville,266,Quentin_Shields,10.17241379,20.55172414,1.018,Off Screen,0.056,1.125,0.455
Offensive,Strength,IllinoisTech,325,Quentin_Forberg,0.833333333,5.5,0.714,Offensive Rebounds (put backs),0.071,2,1
Offensive,Strength,IllinoisTech,325,Quentin_Forberg,0.833333333,5.5,0.714,Off Screen,0.143,1.5,1
Offensive,Strength,IllinoisTech,325,Quentin_Forberg,0.833333333,5.5,0.714,Isolation,0.143,1,0
Offensive,Strength,GustavusAdolphus,306,Peter_Lundquist,3,6.153846154,1.147,Transition,0.059,2,1
Offensive,Strength,GustavusAdolphus,306,Peter_Lundquist,3,6.153846154,1.147,Spot Up,0.235,2.25,0.875
Offensive,Strength,GustavusAdolphus,306,Peter_Lundquist,3,6.153846154,1.147,Isolation,0.029,2,
Offensive,Strength,GustavusAdolphus,306,Peter_Lundquist,3,6.153846154,1.147,Miscellaneous,0.029,2,
Offensive,Strength,EastWest,95,Patrick_Rucker,12.0625,21.375,0.919,Hand Off,0.019,1.25,0.5
Offensive,Strength,EastWest,95,Patrick_Rucker,12.0625,21.375,0.919,Off Screen,0.014,1.667,0.667
Offensive,Strength,EastWest,95,Patrick_Rucker,12.0625,21.375,0.919,Offensive Rebounds (put backs),0.029,1,0.5
Offensive,Strength,EastWest,95,Patrick_Rucker,12.0625,21.375,0.919,Spot Up,0.252,1.075,0.404
Offensive,Strength,EastWest,95,Patrick_Rucker,12.0625,21.375,0.919,Transition,0.329,1.101,0.54
Offensive,Strength,EastWest,95,Patrick_Rucker,12.0625,21.375,0.919,Cut,0.019,1.25,0.5
Offensive,Strength,Wabash,194,Parker_Manges,5.578947368,23.68421053,0.795,Hand Off,0.045,1.167,0.5
Offensive,Strength,Wabash,194,Parker_Manges,5.578947368,23.68421053,0.795,Cut,0.03,1.5,0.75
Offensive,Strength,Wabash,194,Parker_Manges,5.578947368,23.68421053,0.795,Offensive Rebounds (put backs),0.061,1.25,0.833
Offensive,Strength,Wabash,194,Parker_Manges,5.578947368,23.68421053,0.795,Transition,0.136,0.944,0.4
Offensive,Strength,Wabash,194,Parker_Manges,5.578947368,23.68421053,0.795,Spot Up,0.47,0.806,0.333
Offensive,Strength,IllinoisTech,324,Parker_Joncus,5.947368421,28.42105263,0.949,Transition,0.179,0.952,0.368
